CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,G,G,bbllE,bbllE,"['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",bbbbllllE, 2b + 2l + MET, 2b + 2l + MET, 4b + 4l + MET
L L E,G,G,bbllE,jjlll,"['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [l,l]']",bbjjlllllE, 2b + 2l + MET, 2j_l + 3l, 2j_l + 2b + 5l + MET
L L E,G,G,bbllE,tblll,"['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['G -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [l,l]']",tbbblllllE, 2b + 2l + MET, 1t + 1b + 3l, 1t + 3b + 5l + MET
L L E,G,G,bbllE,tblE,"['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']",tbbblllE, 2b + 2l + MET, 1t + 1b + 1l + MET, 1t + 3b + 3l + MET
L L E,G,G,bbllE,ttllE,"['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['G -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]', 'G -- (t) -- t_L -- (t) -- B -- (E) -- nu -- [l,l]', 'G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']",ttbbllllE, 2b + 2l + MET, 2t + 2l + MET, 2t + 2b + 4l + MET
L L E,G,G,bbllE,jjlE,"['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['G -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]']",bbjjlllE, 2b + 2l + MET, 2j_l + 1l + MET, 2j_l + 2b + 3l + MET
L L E,G,G,bbllE,jjllE,"['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['G -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu -- [l,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",bbjjllllE, 2b + 2l + MET, 2j_l + 2l + MET, 2j_l + 2b + 4l + MET
L L E,G,G,jjlll,bbllE,"['G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [l,l]']","['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",bbjjlllllE, 2j_l + 3l, 2b + 2l + MET, 2j_l + 2b + 5l + MET
L L E,G,G,jjlll,jjlll,"['G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [l,l]']","['G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [l,l]']",jjjjllllll, 2j_l + 3l, 2j_l + 3l, 4j_l + 6l
L L E,G,G,jjlll,tblll,"['G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [l,l]']","['G -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [l,l]']",tbjjllllll, 2j_l + 3l, 1t + 1b + 3l, 2j_l + 1t + 1b + 6l
