CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,tau_L,nu_tau,lE,llE,"['tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['nu_tau -- (E) -- B -- (l) -- l -- [E,l]', 'nu_tau -- (E) -- B -- (E) -- nu -- [l,l]', 'nu_tau -- (E) -- B -- (l) -- e -- [l,E]']",lllE, 1l + MET, 2l + MET, 3l + MET
L L E,tau_L,nu_tau,lE,TlE,"['tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['nu_tau -- (T) -- W^+ -- (E) -- l -- [E,l]']",TllE, 1l + MET, 1l + 1tau + MET, 2l + 1tau + MET
L L E,tau_L,nu_tau,lE,Tlll,"['tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]']","['nu_tau -- (T) -- W^+ -- (l) -- nu -- [l,l]']",TllllE, 1l + MET, 3l + 1tau, 4l + 1tau + MET
L L E,tau_L,nu_tau,lllE,llE,"['tau_L -- (E) -- W^+ -- (l) -- nu -- [l,l]']","['nu_tau -- (E) -- B -- (l) -- l -- [E,l]', 'nu_tau -- (E) -- B -- (E) -- nu -- [l,l]', 'nu_tau -- (E) -- B -- (l) -- e -- [l,E]']",lllllE, 3l + MET, 2l + MET, 5l + MET
L L E,tau_L,nu_tau,lllE,TlE,"['tau_L -- (E) -- W^+ -- (l) -- nu -- [l,l]']","['nu_tau -- (T) -- W^+ -- (E) -- l -- [E,l]']",TllllE, 3l + MET, 1l + 1tau + MET, 4l + 1tau + MET
L L E,tau_L,nu_tau,lllE,Tlll,"['tau_L -- (E) -- W^+ -- (l) -- nu -- [l,l]']","['nu_tau -- (T) -- W^+ -- (l) -- nu -- [l,l]']",TllllllE, 3l + MET, 3l + 1tau, 6l + 1tau + MET
L L E,tau_L,nu_tau,TllE,llE,"['tau_L -- (T) -- B -- (l) -- l -- [E,l]', 'tau_L -- (T) -- B -- (E) -- nu -- [l,l]', 'tau_L -- (T) -- B -- (l) -- e -- [l,E]']","['nu_tau -- (E) -- B -- (l) -- l -- [E,l]', 'nu_tau -- (E) -- B -- (E) -- nu -- [l,l]', 'nu_tau -- (E) -- B -- (l) -- e -- [l,E]']",TllllE, 2l + 1tau + MET, 2l + MET, 4l + 1tau + MET
L L E,tau_L,nu_tau,TllE,TlE,"['tau_L -- (T) -- B -- (l) -- l -- [E,l]', 'tau_L -- (T) -- B -- (E) -- nu -- [l,l]', 'tau_L -- (T) -- B -- (l) -- e -- [l,E]']","['nu_tau -- (T) -- W^+ -- (E) -- l -- [E,l]']",TTlllE, 2l + 1tau + MET, 1l + 1tau + MET, 3l + 2tau + MET
L L E,tau_L,nu_tau,TllE,Tlll,"['tau_L -- (T) -- B -- (l) -- l -- [E,l]', 'tau_L -- (T) -- B -- (E) -- nu -- [l,l]', 'tau_L -- (T) -- B -- (l) -- e -- [l,E]']","['nu_tau -- (T) -- W^+ -- (l) -- nu -- [l,l]']",TTlllllE, 2l + 1tau + MET, 3l + 1tau, 5l + 2tau + MET
L_3 L E,tau_L,nu_tau,lE,llE,"['tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]', 'tau_L -- [E,l]']","['nu_tau -- (E) -- B -- (l) -- l -- [E,l]', 'nu_tau -- (E) -- B -- (l) -- e -- [l,E]']",lllE, 1l + MET, 2l + MET, 3l + MET
L_3 L E,tau_L,nu_tau,lE,ll,"['tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]', 'tau_L -- [E,l]']","['nu_tau -- [l,l]']",lllE, 1l + MET, 2l, 3l + MET
L_3 L E,tau_L,nu_tau,lE,TlE,"['tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]', 'tau_L -- [E,l]']","['nu_tau -- (T) -- W^+ -- (E) -- l -- [E,l]', 'nu_tau -- (E) -- B -- (E) -- nu -- [T,l]', 'nu_tau -- (E) -- B -- (l) -- e -- [T,E]']",TllE, 1l + MET, 1l + 1tau + MET, 2l + 1tau + MET
