Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L L E,W^0,l,llE,"W^0 -- (l) -- l -- [E,l]",1, 2l + MET
L L E,W^0,l,llE,"W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]",3, 2l + MET
L L E,W^0,l,jjllE,"W^0 -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]",3, 2j_l + 2l + MET
L L E,W^0,l,tblE,"W^0 -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]",3, 1t + 1b + 1l + MET
L L E,W^0,l,ttllE,"W^0 -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]",3, 2t + 2l + MET
L L E,W^0,l,TlE,"W^0 -- (T) -- tau_L -- (E) -- W^+ -- (E) -- l -- [E,l]",3, 1l + 1tau + MET
L L E,W^0,l,vvllE,"W^0 -- (v) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]",3, 2l + 2v + MET
L L E,W^0,l,vvlE,"W^0 -- (v) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]",3, 1l + 2v + MET
L L E,W^0,l,bbllE,"W^0 -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]",3, 2b + 2l + MET
L L E,W^0,l,TTllE,"W^0 -- (T) -- tau_L -- (T) -- B -- (l) -- l -- [E,l]",3, 2l + 2tau + MET
L L E,W^0,l,jjlE,"W^0 -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]",3, 2j_l + 1l + MET
L L E,W^0,nu,TlllE,"W^0 -- (T) -- tau_L -- (E) -- W^+ -- (l) -- nu -- [l,l]",3, 3l + 1tau + MET
L L E,W^0,nu,TTllE,"W^0 -- (T) -- tau_L -- (T) -- B -- (E) -- nu -- [l,l]",3, 2l + 2tau + MET
L L E,W^0,nu,ttllE,"W^0 -- (t) -- t_L -- (t) -- B -- (E) -- nu -- [l,l]",3, 2t + 2l + MET
L L E,W^0,nu,jjlll,"W^0 -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [l,l]",3, 2j_l + 3l
L L E,W^0,nu,llllE,"W^0 -- (l) -- l -- (l) -- B -- (E) -- nu -- [l,l]",3, 4l + MET
L L E,W^0,nu,bbllE,"W^0 -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]",3, 2b + 2l + MET
L L E,W^0,nu,vvlll,"W^0 -- (v) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]",3, 3l + 2v
L L E,W^0,nu,tblll,"W^0 -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [l,l]",3, 1t + 1b + 3l
L L E,W^0,nu,vvllE,"W^0 -- (v) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]",3, 2l + 2v + MET
L L E,W^0,nu,jjllE,"W^0 -- (j) -- q -- (j) -- B -- (E) -- nu -- [l,l]",3, 2j_l + 2l + MET
L L E,W^0,nu,llE,"W^0 -- (E) -- nu -- [l,l]",1, 2l + MET
L L E,W^0,e,vvllE,"W^0 -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]",3, 2l + 2v + MET
L L E,W^0,e,bbllE,"W^0 -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]",3, 2b + 2l + MET
L L E,W^0,e,llE,"W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]",3, 2l + MET
L L E,W^0,e,llllE,"W^0 -- (l) -- l -- (l) -- B -- (l) -- e -- [l,E]",3, 4l + MET
L L E,W^0,e,jjllE,"W^0 -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]",3, 2j_l + 2l + MET
L L E,W^0,e,TTllE,"W^0 -- (T) -- tau_L -- (T) -- B -- (l) -- e -- [l,E]",3, 2l + 2tau + MET
L L E,W^0,e,ttllE,"W^0 -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]",3, 2t + 2l + MET
