CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L Q D,U D D,B,B,jjl,jjj,"['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",jjjjjl, 2j_l + 1l, 3j_l, 5j_l + 1l
L Q D,U D D,B,B,jjX,jjj,"['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",jjjjjX, 2j_l + MET, 3j_l, 5j_l + MET
L Q D,U D_3 D,B,B,jjl,bjj,"['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",bjjjjl, 2j_l + 1l, 2j_l + 1b, 4j_l + 1b + 1l
L Q D,U D_3 D,B,B,jjX,bjj,"['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",bjjjjX, 2j_l + MET, 2j_l + 1b, 4j_l + 1b + MET
L Q D,U D_3 D_3,B,B,jjl,bbj,"['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']",bbjjjl, 2j_l + 1l, 1j_l + 2b, 3j_l + 2b + 1l
L Q D,U D_3 D_3,B,B,jjX,bbj,"['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']",bbjjjX, 2j_l + MET, 1j_l + 2b, 3j_l + 2b + MET
L Q D,U_3 D D,B,B,jjl,tjj,"['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']","['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']",tjjjjl, 2j_l + 1l, 2j_l + 1t, 4j_l + 1t + 1l
L Q D,U_3 D D,B,B,jjX,tjj,"['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']","['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']",tjjjjX, 2j_l + MET, 2j_l + 1t, 4j_l + 1t + MET
L Q D,U_3 D_3 D,B,B,jjl,tbj,"['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']","['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']",tbjjjl, 2j_l + 1l, 1j_l + 1t + 1b, 3j_l + 1t + 1b + 1l
L Q D,U_3 D_3 D,B,B,jjX,tbj,"['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']","['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']",tbjjjX, 2j_l + MET, 1j_l + 1t + 1b, 3j_l + 1t + 1b + MET
L Q D,U_3 D_3 D_3,B,B,jjl,tbb,"['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']","['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']",tbbjjl, 2j_l + 1l, 1t + 2b, 2j_l + 1t + 2b + 1l
L Q D,U_3 D_3 D_3,B,B,jjX,tbb,"['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']","['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']",tbbjjX, 2j_l + MET, 1t + 2b, 2j_l + 1t + 2b + MET
L Q D_3,U D D,B,B,bjl,jjj,"['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",bjjjjl, 1j_l + 1b + 1l, 3j_l, 4j_l + 1b + 1l
L Q D_3,U D D,B,B,bjX,jjj,"['B -- (X) -- nu -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']","['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']",bjjjjX, 1j_l + 1b + MET, 3j_l, 4j_l + 1b + MET
L Q D_3,U D_3 D,B,B,bjl,bjj,"['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",bbjjjl, 1j_l + 1b + 1l, 2j_l + 1b, 3j_l + 2b + 1l
L Q D_3,U D_3 D,B,B,bjX,bjj,"['B -- (X) -- nu -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']","['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']",bbjjjX, 1j_l + 1b + MET, 2j_l + 1b, 3j_l + 2b + MET
L Q D_3,U D_3 D_3,B,B,bjl,bbj,"['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']",bbbjjl, 1j_l + 1b + 1l, 1j_l + 2b, 2j_l + 3b + 1l
L Q D_3,U D_3 D_3,B,B,bjX,bbj,"['B -- (X) -- nu -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']",bbbjjX, 1j_l + 1b + MET, 1j_l + 2b, 2j_l + 3b + MET
L Q D_3,U_3 D D,B,B,bjl,tjj,"['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']","['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']",tbjjjl, 1j_l + 1b + 1l, 2j_l + 1t, 3j_l + 1t + 1b + 1l
L Q D_3,U_3 D D,B,B,bjX,tjj,"['B -- (X) -- nu -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']","['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']",tbjjjX, 1j_l + 1b + MET, 2j_l + 1t, 3j_l + 1t + 1b + MET
L Q D_3,U_3 D_3 D,B,B,bjl,tbj,"['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']","['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']",tbbjjl, 1j_l + 1b + 1l, 1j_l + 1t + 1b, 2j_l + 1t + 2b + 1l
L Q D_3,U_3 D_3 D,B,B,bjX,tbj,"['B -- (X) -- nu -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']","['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']",tbbjjX, 1j_l + 1b + MET, 1j_l + 1t + 1b, 2j_l + 1t + 2b + MET
L Q D_3,U_3 D_3 D_3,B,B,bjl,tbb,"['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']","['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']",tbbbjl, 1j_l + 1b + 1l, 1t + 2b, 1j_l + 1t + 3b + 1l
